Title,ReleaseYear,City,Locations,FunFacts,ProductionCompany,Distributor,Director,Writer,Actor1,Actor2,Actor3,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source
A View to a Kill,1985,San Francisco,Chinatown,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,37.776646,-122.417481,1,place,,,San Francisco,CA,San Francisco County,94101,US,TIGER/Line® dataset from the US Census Bureau
A View to a Kill,1985,San Francisco,"Burger Island (901 3rd Street, China Basin)",,Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,37.776646,-122.417481,1,place,,,San Francisco,CA,San Francisco County,94101,US,TIGER/Line® dataset from the US Census Bureau
A View to a Kill,1985,San Francisco,Van Ness Avenue,,Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,37.788993,-122.421776,0.9,street_center,,Van Ness Ave,San Francisco,CA,San Francisco County,94109,US,TIGER/Line® dataset from the US Census Bureau
A View to a Kill,1985,San Francisco,Taylor and Jefferson Streets (Fisherman's Wharf),,Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,37.808214,-122.415802,0.8,intersection,,Jefferson St,San Francisco,CA,San Francisco County,94133,US,TIGER/Line® dataset from the US Census Bureau
About a Boy,2014,San Francisco,Broderick from Fulton to McAlister,,NBC Studios,National Broadcasting Company,Mark J. Kunerth,Jason Katims,David Walton,Minnie Driver,,37.788805,-122.44211,0.9,street_center,,Broderick St,San Francisco,CA,San Francisco County,94115,US,TIGER/Line® dataset from the US Census Bureau
About a Boy,2014,San Francisco,Crissy Field,,NBC Studios,National Broadcasting Company,Mark J. Kunerth,Jason Katims,David Walton,Minnie Driver,,37.802689,-122.467283,0.9,street_center,,Crissy Field Ave,San Francisco,CA,San Francisco County,94129,US,TIGER/Line® dataset from the US Census Bureau
About a Boy,2014,San Francisco,Powell from Bush and Sutter,,NBC Studios,National Broadcasting Company,Mark J. Kunerth,Jason Katims,David Walton,Minnie Driver,,37.789225,-122.408595,1,intersection,,Powell St,San Francisco,CA,San Francisco County,94108,US,TIGER/Line® dataset from the US Census Bureau
After the Thin Man,1936,San Francisco,Coit Tower,"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Metro-Goldwyn Mayer,Metro-Goldwyn Mayer,W.S. Van Dyke,Frances Goodrich,William Powell,Myrna Loy,James Stewart,37.776646,-122.417481,1,place,,,San Francisco,CA,San Francisco County,94101,US,TIGER/Line® dataset from the US Census Bureau
Age of Adaline,2015,San Francisco,Pier 50- end of the pier,,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,Harrison Ford,Ellen Burstyn,37.795578,-122.394882,0.9,street_center,,Pier,San Francisco,CA,San Francisco County,94105,US,TIGER/Line® dataset from the US Census Bureau
Age of Adaline,2015,San Francisco,California @ Montgomery,,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,Harrison Ford,Ellen Burstyn,37.792851,-122.402767,1,intersection,,California St,San Francisco,CA,San Francisco County,94104,US,TIGER/Line® dataset from the US Census Bureau
